Vmain	Vharm	I0	phimain	Phi_F	phih	
2699.625224176626	848.9030022760668	0.0005787037037037037	-1.243718171680647	6.798541308831732e-05	-0.0006333195866008445	
2699.625165348971	848.9030633794675	0.0005787037037037037	-1.243718235911101	6.802412155183922e-05	-0.0006334464874522272	
2699.625126130541	848.9031244817867	0.0005787037037037037	-1.243718278731406	6.806350778525925e-05	-0.0006335713520877473	
2699.625047693696	848.9031855812863	0.0005787037037037037	-1.243718364372019	6.810471675295719e-05	-0.0006336909506778898	
2699.625220063632	848.9032466887314	0.0005787037037037037	-1.24371845765719	6.814091094045392e-05	-0.0006338252941266997	
2699.625180845228	848.9033077994794	0.0005787037037037037	-1.243718500477497	6.817495835957403e-05	-0.0006339657461469361	
2699.62512201763	848.9033689052173	0.0005787037037037037	-1.24371856470796	6.821217870131755e-05	-0.0006340968597271512	
2699.625063190044	848.9034300173965	0.0005787037037037037	-1.243718628938425	6.824532475335976e-05	-0.0006342399096137541	
2699.62502397166	848.9034911325801	0.0005787037037037037	-1.243718671758737	6.827661127787051e-05	-0.0006343885063599952	
2699.624965144092	848.9035522420716	0.0005787037037037037	-1.243718735989208	6.831148923563284e-05	-0.0006345265008209644	
2699.625157123304	848.9036133596746	0.0005787037037037037	-1.243718807864201	6.834123608102231e-05	-0.0006346795209859479	
2699.62509829576	848.9036744729841	0.0005787037037037037	-1.243718872094671	6.837363071462722e-05	-0.000634824536771994	
2699.625059077404	848.903735589339	0.0005787037037037037	-1.243718914914986	6.84040815690724e-05	-0.0006349751696292927	
2699.625019859052	848.9037967084768	0.0005787037037037037	-1.243718957735302	6.843279691972183e-05	-0.0006351309280612227	
2699.624961031534	848.9038578246058	0.0005787037037037037	-1.243719021965779	6.84633740727429e-05	-0.0006352810693792676	
2699.624921813195	848.9039189493138	0.0005787037037037037	-1.243719064786099	6.84886155942115e-05	-0.000635447078958018	
2699.625113792471	848.9039800730982	0.0005787037037037037	-1.243719136661069	6.851448554774127e-05	-0.0006356113331720259	
2699.625074574145	848.9040411989516	0.0005787037037037037	-1.243719179481388	6.853903557599297e-05	-0.0006357793788982491	
2699.625035355824	848.9041023197499	0.0005787037037037037	-1.243719222301708	6.85667399976797e-05	-0.0006359380159748351	
2699.624996137508	848.9041634467875	0.0005787037037037037	-1.243719265122029	6.859057702073e-05	-0.0006361081680619218	
2699.624956919197	848.9042245787799	0.0005787037037037037	-1.243719307942351	6.861125783341737e-05	-0.0006362874478942349	
2699.624917700891	848.9042856992672	0.0005787037037037037	-1.243719350762675	6.863913172043533e-05	-0.0006364453827638616	
2699.62487848259	848.904346825012	0.0005787037037037037	-1.243719393583	6.866376030835766e-05	-0.0006366130070880605	
2699.624839264294	848.9044079518434	0.0005787037037037037	-1.243719436403326	6.868766243524974e-05	-0.0006367825973685459	
2699.625031243642	848.904469082344	0.0005787037037037037	-1.243719508278272	6.870929225713095e-05	-0.0006369589281298715	
2699.624992025359	848.9045302173901	0.0005787037037037037	-1.243719551098598	6.872805424078563e-05	-0.0006371436142824649	
2699.624952807081	848.9045913455515	0.0005787037037037037	-1.243719593918924	6.875108016927979e-05	-0.0006373155215366744	
2699.624913588808	848.9046524746119	0.0005787037037037037	-1.243719636739252	6.877358603875381e-05	-0.0006374890436782188	
2699.624893979673	848.9047136088288	0.0005787037037037037	-1.243719658149417	6.879291932474468e-05	-0.0006376720446270578	
2699.624854761408	848.904774744405	0.0005787037037037037	-1.243719700969746	6.881139660875936e-05	-0.0006378575030245859	
2699.624835152277	848.9048358849163	0.0005787037037037037	-1.243719722379911	6.882681146339417e-05	-0.0006380520189448458	
2699.624795934018	848.9048970231772	0.0005787037037037037	-1.243719765200243	6.884364545231575e-05	-0.0006382423220234745	
2699.624776324891	848.9049581622679	0.0005787037037037037	-1.243719786610409	6.885994245687879e-05	-0.0006384340995595483	
2699.62473710664	848.9050192994105	0.0005787037037037037	-1.243719829430743	6.887743522014795e-05	-0.0006386222259633367	
2699.624948695186	848.9050804382205	0.0005787037037037037	-1.243719879895498	6.889392018885615e-05	-0.0006388133715224953	
2699.624929086065	848.9051415880307	0.0005787037037037037	-1.243719901305664	6.890360181821171e-05	-0.000639024738552596	
2699.624909476946	848.9052027332687	0.0005787037037037037	-1.24371992271583	6.891612447947614e-05	-0.0006392276097151317	
2699.624909476946	848.9052638838775	0.0005787037037037037	-1.24371992271583	6.892530420048749e-05	-0.0006394403107421454	
2699.624889867827	848.9053250259846	0.0005787037037037037	-1.243719944125997	6.893975544329662e-05	-0.0006396372839094777	
2699.62487025871	848.9053861713281	0.0005787037037037037	-1.243719965536163	6.895224238683697e-05	-0.0006398401549838617	
2699.62487025871	848.9054473224289	0.0005787037037037037	-1.243719965536163	6.896115197884342e-05	-0.0006400535580559641	
2699.624850649595	848.9055084802089	0.0005787037037037037	-1.243719986946331	6.896596732453673e-05	-0.0006402791782473827	
2699.624850649595	848.9055696329165	0.0005787037037037037	-1.243719986946331	6.89738659464594e-05	-0.0006404953897969357	
2699.62483104048	848.9056307900172	0.0005787037037037037	-1.243720008356498	6.897911710398908e-05	-0.0006407196056541498	
2699.62483104048	848.9056919409719	0.0005787037037037037	-1.243720008356498	6.898819992694026e-05	-0.0006409324468934496	
2699.624811431367	848.9057530890606	0.0005787037037037037	-1.243720029766666	6.899899751813639e-05	-0.0006411399518768679	
2699.624811431367	848.9058142514831	0.0005787037037037037	-1.243720029766666	6.900097517154566e-05	-0.0006413737166726108	
